2026-05-30 10:17:34,655 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,720 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,738 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,751 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,793 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,852 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,873 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,887 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,930 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,995 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,005 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,024 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,068 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,123 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,159 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,171 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,215 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,268 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,283 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,300 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,372 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,414 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,430 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,440 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,487 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:35,547 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:35,550 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:35,562 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:35,617 | CAMERA_MANAGER | INFO | Sending frame from c4
