2026-05-30 11:13:22,515 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:22,519 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:24,639 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:24,645 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:26,463 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:26,479 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:28,260 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:28,262 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:29,881 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:29,881 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:31,643 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:31,658 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:33,389 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:33,394 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:35,243 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:35,257 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:36,969 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:36,985 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:38,746 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:38,763 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:40,725 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:40,734 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:42,516 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:13:42,526 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:13:42,823 | DETECTION_SUBSCRIBER | INFO | Stopped
2026-05-30 11:13:56,606 | DETECTION_SUBSCRIBER | INFO | Detection Subscriber Started
2026-05-30 11:13:56,606 | DETECTION_SUBSCRIBER | INFO | Loading Model : C:\Users\nedur\Downloads\combined_data\new\best.pt
2026-05-30 11:13:58,007 | DETECTION_SUBSCRIBER | INFO | YOLOv7 Loaded Successfully
2026-05-30 11:13:58,056 | DETECTION_SUBSCRIBER | INFO | Waiting For Frames...
2026-05-30 11:13:58,056 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:13:59,647 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:13:59,738 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:01,359 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:01,383 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:03,032 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:03,049 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:03,098 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:04,705 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:04,828 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:06,607 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:06,614 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:08,258 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:08,258 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:08,258 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:09,865 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:09,873 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:11,412 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:11,431 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:13,066 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:13,066 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:13,098 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:14,721 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:14,737 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:16,447 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:16,462 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:18,123 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:18,123 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:18,131 | DETECTION_SUBSCRIBER | INFO | Processing : c3
2026-05-30 11:14:19,872 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
2026-05-30 11:14:19,872 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:14:21,575 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:14:21,578 | DETECTION_SUBSCRIBER | INFO | Processing : c1
2026-05-30 11:14:23,195 | DETECTION_SUBSCRIBER | INFO | Published To Vehicle Queue
2026-05-30 11:14:23,195 | DETECTION_SUBSCRIBER | INFO | Published To Safety Queue
